,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,1stcase
1,China,"81,340",+55,"3,292 ",+5,"74,588","3,460","1,034",57,2,"
Jan 10 "
2,USA,"104,126","+18,691","1,696 ",+401,"2,522","99,908","2,463",315,5,"
Jan 20 "
3,Italy,"86,498","+5,909","9,134 ",+919,"10,950","66,414","3,732","1,431",151,"
Jan 29 "
4,Spain,"65,719","+7,933","5,138 ",+773,"9,357","51,224","4,165","1,406",110,"
Jan 30 "
5,Germany,"50,871","+6,933",351 ,+84,"6,658","43,862","1,581",607,4,"
Jan 26 "
6,France,"32,964","+3,809","1,995 ",+299,"5,700","25,269","3,787",505,31,"
Jan 23 "
7,Iran,"32,332","+2,926","2,378 ",+144,"11,133","18,821","2,893",385,28,"
Feb 18 "
8,UK,"14,543","+2,885",759 ,+181,135,"13,649",163,214,11,"
Jan 30 "
9,Switzerland,"12,928","+1,117",231 ,+39,"1,530","11,167",203,"1,494",27,"
Feb 24 "
10,S. Korea,"9,332",+91,139 ,+8,"4,528","4,665",59,182,3,"
Jan 19 "
11,Netherlands,"8,603","+1,172",546 ,+112,3,"8,054",761,502,32,"
Feb 26 "
12,Austria,"7,697",+788,58 ,+9,225,"7,414",128,855,6,"
Feb 24 "
13,Belgium,"7,284","+1,049",289 ,+69,858,"6,137",690,628,25,"
Feb 03 "
14,Turkey,"5,698","+2,069",92 ,+17,42,"5,564",241,68,1,"
Mar 09 "
15,Canada,"4,757",+714,55 ,+16,354,"4,348",120,126,1,"
Jan 24 "
16,Portugal,"4,268",+724,76 ,+16,43,"4,149",71,419,7,"
Mar 01 "
17,Norway,"3,771",+399,19 ,+5,7,"3,745",70,696,4,"
Feb 25 "
18,Brazil,"3,417",+432,92 ,+15,6,"3,319",296,16,0.4,"
Feb 24 "
19,Australia,"3,378",+328,13 ,,170,"3,195",23,132,0.5,"
Jan 24 "
20,Sweden,"3,069",+229,105 ,+28,16,"2,948",214,304,10,"
Jan 30 "
21,Israel,"3,035",+342,12 ,+4,79,"2,944",49,351,1,"
Feb 20 "
22,Czechia,"2,279",+354,9 ,,11,"2,259",34,213,0.8,"
Feb 29 "
23,Malaysia,"2,161",+130,26 ,+3,259,"1,876",54,67,0.8,"
Jan 24 "
24,Ireland,"2,121",+302,22 ,+3,5,"2,094",59,430,4,"
Feb 28 "
25,Denmark,"2,046",+169,52 ,+11,1,"1,993",109,353,9,"
Feb 26 "
26,Ecuador,"1,627",+224,41 ,+7,3,"1,583",58,92,2,"
Feb 28 "
27,Chile,"1,610",+304,5 ,+1,43,"1,562",7,84,0.3,"
Mar 02 "
28,Luxembourg,"1,605",+152,15 ,+6,40,"1,550",25,"2,564",24,"
Feb 28 "
29,Japan,"1,499",+112,49 ,+2,372,"1,078",56,12,0.4,"
Jan 14 "
30,Poland,"1,389",+168,16 ,,7,"1,366",3,37,0.4,"
Mar 03 "
31,Pakistan,"1,373",+172,11 ,+2,23,"1,339",7,6,0.05,"
Feb 25 "
32,Romania,"1,292",+263,26 ,+3,115,"1,151",32,67,1,"
Feb 25 "
33,South Africa,"1,170",+243,2 ,+2,31,"1,137",7,20,0.03,"
Mar 04 "
34,Thailand,"1,136",+91,5 ,+1,97,"1,034",11,16,0.07,"
Jan 12 "
35,Saudi Arabia,"1,104",+92,3 ,,35,"1,066",6,32,0.09,"
Mar 01 "
36,Indonesia,"1,046",+153,87 ,+9,46,913,,4,0.3,"
Mar 01 "
37,Finland,"1,041",+83,7 ,+2,10,"1,024",32,188,1,"
Jan 28 "
38,Russia,"1,036",+196,4 ,+1,45,987,8,7,0.03,"
Jan 30 "
39,Greece,966,+74,28 ,+1,52,886,66,93,3,"
Feb 25 "
40,Iceland,890,+88,2 ,,97,791,18,"2,608",6,"
Feb 27 "
41,India,887,+160,20 ,,73,794,,0.6,0.01,"
Jan 29 "
42,Philippines,803,+96,54 ,+9,31,718,1,7,0.5,"
Jan 29 "
43,Panama,786,+112,14 ,+5,2,770,20,182,3,"
Mar 09 "
44,Singapore,732,+49,2 ,,183,547,17,125,0.3,"
Jan 22 "
45,Diamond Princess,712,,10 ,,597,105,15,,,"
Feb 04 "
46,Peru,635,+55,11 ,+2,16,608,21,19,0.3,"
Mar 05 "
47,Slovenia,632,+70,9 ,+3,10,613,14,304,4,"
Mar 03 "
48,Argentina,589,,13 ,+1,72,504,,13,0.3,"
Mar 02 "
49,Croatia,586,+91,3 ,,37,546,14,143,0.7,"
Feb 24 "
50,Mexico,585,+110,8 ,+2,4,573,1,5,0.06,"
Feb 27 "
51,Dominican Republic,581,+93,20 ,+10,3,558,,54,2,"
Feb 29 "
52,Estonia,575,+37,1 ,,11,563,7,433,0.8,"
Feb 26 "
53,Qatar,562,+13, ,,43,519,6,195,,"
Feb 28 "
54,Colombia,539,+48,6 ,,10,523,,11,0.1,"
Mar 05 "
55,Egypt,536,+41,30 ,+6,116,390,,5,0.3,"
Feb 13 "
56,Serbia,528,+71,8 ,+1,42,478,25,60,0.9,"
Mar 05 "
57,Hong Kong,519,+65,4 ,,111,404,5,69,0.5,"
Jan 22 "
58,Bahrain,466,+8,4 ,,227,235,1,274,2,"
Feb 23 "
59,Iraq,458,+76,40 ,+4,122,296,,11,1.0,"
Feb 21 "
60,Algeria,409,+42,26 ,+1,29,354,,9,0.6,"
Feb 24 "
61,UAE,405,+72,2 ,,52,351,2,41,0.2,"
Jan 28 "
62,Lebanon,391,+23,8 ,+2,27,356,3,57,1,"
Feb 20 "
63,New Zealand,368,, ,,37,331,1,76,,"
Feb 27 "
64,Lithuania,358,+59,5 ,+1,1,352,2,132,2,"
Feb 27 "
65,Morocco,345,+70,23 ,+12,11,311,1,9,0.6,"
Mar 01 "
66,Armenia,329,+39,1 ,,28,300,6,111,0.3,"
Feb 29 "
67,Ukraine,310,+114,5 ,,5,300,,7,0.1,"
Mar 02 "
68,Hungary,300,+39,10 ,,34,256,6,31,1,"
Mar 03 "
69,Bulgaria,293,+29,3 ,,9,281,8,42,0.4,"
Mar 06 "
70,Latvia,280,+36, ,,1,279,,148,,"
Mar 01 "
71,Slovakia,269,+43, ,,2,267,1,49,,"
Mar 05 "
72,Andorra,267,+43,3 ,,1,263,11,"3,456",39,"
Mar 01 "
73,Taiwan,267,+15,2 ,,30,235,,11,0.08,"
Jan 20 "
74,Costa Rica,263,+32,2 ,,3,258,5,52,0.4,"
Mar 04 "
75,Uruguay,238,, ,,,238,3,69,,"
Mar 12 "
76,Bosnia and Herzegovina,237,+46,4 ,+1,5,228,1,72,1,"
Mar 04 "
77,Jordan,235,+23,1 ,+1,18,216,,23,0.10,"
Mar 01 "
78,Tunisia,227,+30,7 ,+2,2,218,10,19,0.6,"
Mar 01 "
79,Kuwait,225,+17, ,,57,168,11,53,,"
Feb 23 "
80,San Marino,223,+15,21 ,,6,196,15,"6,572",619,"
Feb 26 "
81,North Macedonia,219,+18,3 ,,3,213,1,105,1,"
Feb 25 "
82,Moldova,199,+22,2 ,+1,2,195,33,49,0.5,"
Mar 06 "
83,Albania,186,+12,8 ,+2,31,147,3,65,3,"
Mar 07 "
84,Burkina Faso,180,+28,9 ,+2,12,159,,9,0.4,"
Mar 08 "
85,Azerbaijan,165,+43,3 ,,15,147,6,16,0.3,"
Feb 27 "
86,Vietnam,163,+10, ,,20,143,3,2,,"
Jan 22 "
87,Cyprus,162,+16,5 ,+2,15,142,3,134,4,"
Mar 08 "
88,Kazakhstan,150,+37,1 ,,3,146,,8,0.05,"
Mar 12 "
89,Réunion,145,+10, ,,1,144,,162,,"
Mar 10 "
90,Faeroe Islands,144,+4, ,,54,90,2,"2,947",,"
Mar 03 "
91,Malta,139,+5, ,,2,137,1,315,,"
Mar 06 "
92,Ghana,137,+5,4 ,,2,131,1,4,0.1,"
Mar 11 "
93,Oman,131,+22, ,,23,108,,26,,"
Feb 23 "
94,Senegal,119,+14, ,,11,108,,7,,"
Mar 01 "
95,Brunei ,115,+1, ,,11,104,1,263,,"
Mar 08 "
96,Venezuela,113,+6,2 ,+1,31,80,2,4,0.07,"
Mar 12 "
97,Afghanistan,110,+16,4 ,,2,104,,3,0.1,"
Feb 23 "
98,Sri Lanka,106,, ,,7,99,5,5,,"
Jan 26 "
99,Ivory Coast,101,+5, ,,3,98,,4,,"
Mar 10 "
100,Cambodia,99,+1, ,,11,88,1,6,,"
Jan 26 "
